"","ReadNews","PoliticalInterest","Education","TreatmentGroup","WatchProgram","InformationLevel","Income","Female"
"51",7,4,11,1,0,4,3,0
"52",7,3,11,1,0,2,4,0
"53",7,4,11,1,1,4,NA,1
"54",6,3,11,0,0,3,5,1
"55",5,3,11,1,1,3,NA,1
"56",7,3,11,1,0,2,3,0
"57",7,3,8,1,0,2,10,0
"58",2,2,8,1,0,3,NA,1
"59",2,3,4,0,0,2,4,1
"60",6,2,11,1,0,3,7,1
"61",5,3,7,0,0,3,5,1
"62",7,4,13,0,0,4,4,0
"63",7,4,11,0,0,2,11,0
"64",7,3,11,1,1,4,4,1
"65",7,4,9,1,0,4,3,0
"66",4,2,6,0,0,3,6,0
"67",4,3,11,1,0,3,10,1
"68",5,4,9,1,0,3,NA,0
"69",6,4,9,0,0,1,7,0
"70",2,3,9,1,0,3,5,0
"71",6,4,11,1,1,4,11,1
"72",6,2,4,1,0,3,4,0
"73",6,3,4,1,0,2,11,1
"74",6,3,11,1,0,3,3,0
"75",1,4,12,0,0,4,4,0
"76",1,3,4,1,0,4,1,1
"77",5,4,9,0,0,3,5,1
"78",5,2,10,0,0,3,2,1
"79",7,3,11,0,0,4,10,1
"80",5,3,4,1,1,2,2,1
"81",5,3,12,1,0,4,6,0
"82",7,4,7,1,1,4,6,0
"83",1,3,4,0,0,4,3,0
"84",7,4,12,1,1,2,4,0
"85",5,1,1,0,0,3,NA,0
"86",5,4,11,1,0,4,10,1
"87",7,3,11,1,1,4,11,0
"88",7,4,12,0,0,4,4,0
"89",6,2,4,1,0,2,9,1
"90",7,4,4,1,1,4,6,0
"91",6,4,11,1,0,4,4,NA
"92",6,4,8,1,0,NA,11,0
"93",7,4,9,0,0,3,3,1
"94",5,3,9,0,0,2,3,0
"95",6,3,4,0,0,3,3,0
"96",7,4,7,0,0,3,11,1
"97",7,3,9,0,0,4,NA,1
"98",5,3,11,1,1,3,3,0
"99",2,2,4,1,1,3,4,1
"100",6,3,9,0,0,2,7,1
"101",7,4,9,1,0,4,4,0
"102",7,4,13,1,1,4,6,1
"103",7,4,13,1,1,4,9,0
"104",7,4,7,1,0,4,NA,1
"105",4,2,11,1,0,3,2,0
"106",6,2,11,0,0,1,11,0
"107",5,2,8,0,0,3,1,1
"108",7,4,7,0,0,4,NA,1
"109",6,1,11,1,0,4,NA,1
"110",5,3,8,0,0,3,6,1
"111",7,3,13,1,0,4,11,0
"112",6,3,9,0,0,3,7,0
"113",7,4,10,1,1,4,8,1
"114",7,3,7,1,1,4,NA,0
"115",5,3,4,1,0,4,6,1
"116",5,4,9,0,0,4,4,0
"117",5,3,8,0,0,2,4,0
"118",4,3,13,0,0,3,11,0
"119",7,4,9,0,0,4,4,1
"120",6,4,11,0,0,4,3,1
"121",3,3,12,0,0,4,10,0
"122",7,3,12,0,0,4,1,0
"123",6,2,11,1,1,4,5,0
"124",7,4,12,0,0,4,11,0
"125",4,3,8,0,0,3,1,1
"126",1,4,11,0,0,1,4,1
"127",1,2,4,0,0,3,4,0
"128",7,4,9,1,0,2,5,1
"129",4,3,9,0,0,3,5,0
"130",6,3,10,1,1,4,6,1
"131",2,2,11,1,0,NA,4,1
"132",5,2,11,0,0,2,1,1
"133",5,3,9,1,0,3,11,1
"134",1,4,7,0,0,3,7,0
"135",5,3,9,1,0,2,5,0
"136",3,4,10,1,1,4,3,1
"137",7,4,12,0,0,4,6,0
"138",7,4,4,1,0,2,NA,1
"139",7,3,12,1,0,3,4,0
"140",5,4,11,0,0,2,1,0
"141",7,2,9,1,1,2,5,1
"142",NA,3,11,1,1,4,6,0
"143",7,2,11,0,0,3,5,1
"144",7,4,11,1,1,4,NA,0
"145",7,4,11,1,1,4,11,0
"146",5,3,9,0,0,1,11,0
"147",7,4,11,0,0,4,10,0
"148",1,2,4,1,0,3,4,0
"149",7,3,10,1,0,3,NA,0
"150",6,3,11,1,1,4,11,0
"151",7,4,8,0,0,4,4,1
"152",3,3,2,0,1,3,4,1
"153",2,2,1,0,1,3,3,1
"154",7,4,11,1,1,3,8,1
"155",6,3,11,1,0,4,11,0
"156",7,4,9,1,1,4,7,0
"157",5,3,12,1,1,4,3,1
"158",7,3,12,1,0,3,11,0
"159",2,4,11,1,1,1,6,0
"160",7,3,12,0,0,2,10,1
"161",5,3,9,0,0,3,11,1
"162",7,3,13,0,0,3,11,0
"163",7,4,4,0,0,4,4,0
"164",7,4,8,1,0,4,3,NA
"165",7,4,11,0,0,3,11,0
"166",7,3,NA,0,0,4,NA,1
"167",2,2,11,0,0,2,10,0
"168",7,2,9,1,0,2,5,NA
"169",7,3,11,1,1,3,11,0
"170",6,4,11,0,0,2,2,0
"171",1,3,13,1,0,3,8,1
"172",1,4,2,1,1,4,3,1
"173",7,4,11,0,0,4,9,0
"174",3,4,7,0,0,3,3,1
"175",1,4,10,1,1,4,NA,1
"176",7,4,6,0,0,4,NA,0
"177",7,2,11,0,0,3,4,0
"178",1,4,10,1,0,2,1,0
"179",5,3,13,0,0,3,NA,0
"180",1,3,9,1,0,1,8,1
"181",2,4,12,1,1,4,7,0
"182",7,4,12,0,0,4,3,1
"183",1,4,7,1,1,3,6,0
"184",1,4,11,0,0,3,3,0
"185",7,4,11,1,1,4,8,0
"186",7,4,4,1,0,4,6,1
"187",1,3,10,0,0,2,5,1
"188",7,1,9,0,0,3,5,1
"189",7,3,11,0,0,4,7,0
"190",6,4,11,1,0,4,4,NA
"191",6,3,11,1,1,3,11,1
"192",7,4,12,0,0,4,11,0
"193",4,3,11,0,0,3,3,1
"194",7,4,11,1,1,4,NA,1
"195",2,2,4,0,0,1,5,1
"196",7,4,11,1,1,4,5,0
"197",7,3,11,1,0,3,11,1
"198",5,3,10,1,1,3,2,1
"199",7,3,12,1,0,4,6,1
"200",1,4,5,1,1,4,6,1
"201",6,3,11,0,0,4,3,1
"202",3,1,9,1,1,4,4,1
"203",6,2,5,1,1,3,3,0
"204",6,2,7,0,0,3,5,1
"205",1,1,4,1,0,4,2,1
"206",5,2,11,0,0,3,5,0
"207",7,4,11,0,0,4,6,0
"208",1,3,11,0,0,2,2,1
"209",4,2,7,1,1,3,6,0
"210",7,3,12,0,0,4,11,1
"211",7,4,13,0,0,3,10,1
"212",1,3,6,1,1,4,4,1
"213",5,3,11,0,0,3,5,1
"214",1,1,11,1,0,NA,7,0
"215",7,4,13,1,0,3,9,0
"216",1,3,11,0,0,3,11,1
"217",6,3,12,1,1,2,9,0
"218",7,3,NA,0,0,4,NA,1
"219",7,4,10,0,0,3,6,1
"220",5,3,9,0,0,4,6,0
"221",1,4,11,1,0,2,9,1
"222",1,2,9,0,0,2,7,0
"223",7,3,11,1,1,4,9,0
"224",7,3,9,0,0,2,6,1
"225",7,4,9,1,1,4,4,1
"226",3,2,11,0,0,4,5,1
"227",6,3,9,0,0,4,2,0
"228",7,4,4,1,0,4,8,1
"229",6,3,9,1,1,3,11,1
"230",7,3,11,1,0,NA,10,0
"231",5,3,9,0,0,3,8,1
"232",7,4,4,0,0,4,NA,0
"233",7,4,9,0,0,4,5,0
"234",1,4,9,0,0,3,5,0
"235",7,4,2,0,0,3,8,1
"236",3,4,11,1,1,3,6,1
"237",7,4,11,0,0,4,5,0
"238",7,1,11,1,0,3,8,0
"239",5,2,9,0,0,2,5,1
"240",7,4,9,1,1,3,6,1
"241",7,3,5,0,0,4,4,1
"242",5,4,10,1,0,4,3,1
"243",6,2,7,0,0,4,5,0
"244",7,3,12,1,0,4,NA,0
"245",1,3,8,0,0,NA,NA,1
"246",7,4,4,0,1,4,2,1
"247",7,4,10,0,0,3,4,1
"248",7,3,11,1,1,4,1,1
"249",7,3,11,0,0,3,9,0
"250",7,3,12,1,0,NA,11,1
"251",5,4,12,0,0,3,10,1
"252",3,3,11,1,0,3,2,0
"253",6,3,4,1,0,3,3,0
"254",7,4,11,1,1,4,3,1
"255",7,4,12,0,0,4,11,0
"256",7,3,13,1,0,4,11,0
"257",7,4,11,1,1,4,9,1
"258",7,4,13,1,1,3,11,0
"259",1,3,7,0,0,2,5,0
"260",7,4,11,1,1,4,4,0
"261",1,2,9,0,0,1,11,0
"262",5,3,9,1,0,2,3,0
"263",5,3,8,1,0,2,5,1
"264",5,3,4,0,0,1,3,1
"265",7,4,9,1,0,3,3,1
"266",7,4,11,0,0,4,7,0
"267",7,3,12,1,1,4,NA,1
"268",5,2,9,1,0,3,4,0
"269",7,3,11,1,1,3,4,1
"270",7,2,12,0,0,4,3,0
"271",1,3,11,1,0,2,NA,NA
"272",7,4,9,1,1,4,2,1
"273",2,4,4,0,0,3,4,0
"274",7,4,11,0,0,4,7,1
"275",6,4,11,1,0,4,NA,0
"276",5,2,4,0,0,2,6,1
"277",1,4,9,0,0,4,NA,0
"278",7,4,11,0,0,3,8,1
"279",7,4,11,1,1,3,3,0
"280",7,4,9,1,0,2,NA,1
"281",7,4,11,1,1,4,NA,1
"282",6,4,11,0,0,4,3,0
"283",5,4,12,1,1,3,11,1
"284",7,4,4,1,0,3,10,0
"285",7,3,11,1,1,4,8,0
"286",7,3,11,0,0,3,4,1
"287",7,4,12,0,0,4,4,0
"288",1,1,3,1,1,3,2,0
"289",1,4,10,0,0,3,2,1
"290",6,4,11,1,1,4,2,0
"291",7,4,12,1,0,3,4,1
"292",7,3,9,1,0,4,4,1
"293",6,2,10,0,0,3,4,1
"294",7,4,11,1,0,4,11,0
"295",5,4,11,0,0,4,NA,0
"296",7,4,12,1,1,4,NA,1
"297",5,3,4,0,0,3,4,0
"298",6,4,12,0,0,3,11,0
"299",6,4,11,1,0,3,3,1
"300",7,4,13,1,0,3,11,1
"301",7,4,9,1,1,4,4,0
"302",7,4,11,1,1,4,11,1
"303",7,4,11,0,0,1,1,0
"304",7,4,9,0,0,4,NA,1
"305",7,4,11,0,0,4,7,0
"306",7,2,8,1,1,4,4,0
"307",7,3,13,1,0,4,8,0
"308",3,4,9,0,0,2,3,1
"309",7,4,13,1,1,4,NA,1
"310",5,3,11,0,0,2,5,0
"311",7,3,11,1,1,3,8,0
"312",6,3,8,0,0,4,4,0
"313",5,3,2,0,0,3,3,0
"314",7,4,6,1,1,4,4,NA
"315",7,3,8,0,0,4,4,0
"316",6,4,11,0,0,3,4,1
"317",7,3,11,0,0,4,5,0
"318",7,4,11,0,0,4,6,0
"319",7,4,11,0,0,4,6,1
"320",7,4,9,1,0,4,3,1
"321",7,3,11,1,1,3,4,1
"322",7,4,12,1,1,4,5,0
"323",7,4,12,0,0,4,6,0
"324",4,4,11,1,0,3,1,1
"325",7,4,10,1,0,4,9,1
"326",6,3,13,0,0,3,7,0
"327",6,3,11,0,0,4,1,1
"328",2,3,4,1,0,3,1,1
"329",1,2,4,0,0,3,5,0
"330",7,4,10,1,0,3,2,1
"331",6,2,11,1,1,4,7,1
"332",6,4,9,1,1,4,10,1
"333",5,3,9,1,1,3,4,1
"334",1,1,9,1,0,2,5,1
"335",6,4,11,0,0,3,10,1
"336",6,3,11,0,0,3,11,1
"337",7,4,12,0,0,4,8,0
"338",1,3,9,1,0,1,8,1
"339",6,3,4,0,0,3,3,0
"340",7,4,11,1,0,3,3,1
"341",1,2,4,0,0,1,2,1
"342",5,3,4,0,0,3,5,1
"343",1,3,4,0,0,4,NA,1
"344",4,2,8,0,0,2,6,1
"345",7,2,4,1,0,3,1,1
"346",7,4,6,0,0,4,4,0
"347",4,3,11,1,0,2,8,1
"348",7,4,12,0,0,3,3,1
"349",6,3,4,1,0,3,1,0
"350",7,4,8,0,0,3,NA,1
"351",7,4,11,1,1,4,11,0
"352",7,4,11,1,0,4,NA,0
"353",7,4,11,1,1,4,11,0
"354",7,4,11,0,0,3,10,1
"355",6,3,4,0,0,4,NA,1
"356",6,3,12,1,1,4,5,0
"357",4,2,4,1,1,3,7,0
"358",7,4,10,0,0,3,4,0
"359",7,4,12,0,0,4,9,0
"360",6,2,11,1,1,3,4,NA
"361",7,4,11,1,1,4,9,1
"362",7,4,8,1,1,3,6,0
"363",7,3,11,0,0,3,6,1
"364",7,4,11,0,0,4,4,0
"365",5,3,11,1,0,4,4,0
"366",6,4,4,1,1,4,7,1
"367",5,3,4,0,0,NA,4,0
"368",5,3,11,0,0,3,4,1
"369",6,3,11,0,0,3,6,1
"370",7,4,11,1,1,4,11,1
"371",6,4,11,0,0,4,6,1
"372",3,4,4,1,0,4,3,1
"373",7,4,12,0,0,4,11,1
"374",7,3,13,1,0,4,8,0
"375",7,3,7,0,0,4,NA,1
"376",1,2,11,0,1,3,NA,0
"377",6,4,8,0,0,4,8,1
"378",7,4,9,0,0,4,6,0
"379",7,4,12,0,0,4,6,0
"380",7,4,4,1,1,3,6,0
"381",7,3,4,0,0,2,3,1
"382",7,3,8,0,0,3,6,NA
"383",7,4,12,0,0,3,9,0
"384",7,3,11,1,0,3,10,1
"385",7,4,11,0,0,4,11,0
"386",7,4,11,0,0,4,10,0
"387",7,1,8,1,1,4,3,1
"388",4,3,9,0,0,2,2,1
"389",6,3,10,0,0,3,NA,1
"390",5,4,6,0,0,NA,6,1
"391",7,4,9,1,1,4,11,0
"392",7,3,9,1,0,3,11,1
"393",7,4,4,1,0,2,5,0
"394",1,1,4,1,0,2,3,0
"395",7,3,4,1,1,2,2,1
"396",1,1,4,1,0,1,3,1
"397",5,3,10,1,0,3,10,1
"398",7,4,12,1,0,3,8,1
"399",7,4,9,0,0,2,11,1
"400",5,3,4,0,0,3,NA,1
"401",5,4,9,0,0,3,7,1
"402",6,3,11,0,0,4,4,1
"403",6,3,11,1,1,3,4,1
"404",7,4,12,0,0,3,7,1
"405",6,4,11,1,1,3,6,1
"406",3,3,9,0,0,3,5,0
"407",7,3,4,0,0,4,8,1
"408",7,3,11,0,0,3,NA,1
"409",2,4,7,1,0,3,NA,1
"410",5,4,4,0,0,3,7,0
"411",2,4,9,0,0,2,4,1
"412",6,3,4,0,1,2,8,1
"413",7,3,9,0,0,4,5,0
"414",NA,3,11,0,0,2,NA,0
"415",1,2,9,0,0,1,NA,1
"416",5,2,4,1,0,3,NA,1
"417",7,4,9,0,0,3,9,0
"418",7,4,11,1,1,4,6,1
"419",7,3,8,1,0,3,NA,1
"420",1,1,8,1,0,2,3,1
"421",6,3,11,1,1,4,11,0
"422",5,3,11,1,0,4,11,1
"423",6,2,12,1,0,2,9,0
"424",7,4,10,1,0,4,NA,1
"425",5,3,4,1,0,4,6,1
"426",5,2,6,1,1,3,5,0
"427",6,2,10,1,0,1,10,1
"428",6,4,12,1,0,3,6,1
"429",5,4,7,1,1,3,6,0
"430",7,4,6,1,1,4,5,1
"431",7,3,11,1,1,3,9,0
"432",5,2,9,1,1,4,2,1
"433",6,3,7,1,1,3,4,1
"434",7,4,11,1,0,4,10,0
"435",7,4,11,1,0,2,NA,0
"436",7,4,11,1,1,4,4,0
"437",2,3,11,1,0,1,1,0
"438",2,3,12,1,0,3,2,1
"439",3,3,8,1,1,4,3,0
"440",7,4,11,1,0,3,7,1
"441",1,3,8,1,0,NA,4,1
"442",7,3,11,1,0,4,11,0
"443",7,3,4,1,1,2,4,1
"444",7,3,4,1,0,4,7,0
"445",7,3,4,1,1,3,3,1
"446",2,3,11,1,0,3,8,1
"447",7,4,13,1,0,3,11,1
"448",7,4,10,1,1,4,5,1
"449",2,4,11,1,1,4,6,0
"450",7,3,9,1,0,4,8,0
"451",6,3,7,1,0,4,6,1
"452",1,1,9,1,0,2,5,1
"453",7,4,11,1,0,3,3,1
"454",7,3,8,1,1,4,4,0
"455",5,4,11,1,0,4,NA,1
"456",7,4,7,1,0,4,7,1
"457",6,3,9,1,1,2,6,0
"458",7,4,12,1,0,4,11,0
"459",1,3,8,1,0,3,3,1
"460",6,4,11,1,1,4,4,1
"461",4,3,11,1,1,2,4,1
"462",7,3,9,1,0,4,6,1
"463",7,2,5,1,0,2,1,1
"464",7,4,8,0,0,3,8,1
"465",4,2,11,0,0,1,1,1
"466",5,4,11,0,0,4,11,1
"467",7,4,13,0,0,3,NA,1
"468",7,4,11,0,0,4,3,1
"469",5,4,9,0,0,4,4,1
"470",7,3,11,0,1,4,9,1
"471",7,4,12,0,0,4,10,1
"472",7,3,9,0,0,2,5,1
"473",6,3,11,0,0,2,3,0
"474",7,4,11,0,0,4,4,0
"475",7,4,11,0,0,3,9,1
"476",7,4,9,0,0,4,8,1
"477",7,4,11,0,0,4,NA,0
"478",5,3,10,0,1,2,3,1
"479",6,3,7,0,0,4,3,1
"480",7,4,12,0,0,4,9,0
"481",7,4,9,0,0,3,6,0
"482",3,2,7,0,0,3,6,1
"483",7,4,13,0,0,4,4,1
"484",6,3,11,0,0,3,4,1
"485",1,2,4,0,0,1,5,1
"486",7,4,4,0,0,4,2,0
"487",6,3,8,0,0,4,2,1
"488",7,4,12,0,0,4,11,0
"489",6,4,9,0,1,4,NA,1
"490",6,3,11,0,0,2,8,1
"491",7,4,9,0,0,4,7,0
"492",7,4,11,0,0,3,9,0
"493",5,4,4,0,0,3,2,0
"494",5,4,9,0,0,3,NA,0
"495",2,4,10,0,0,3,9,1
"496",7,4,7,0,0,4,5,1
"497",7,4,2,0,0,3,5,0
"498",7,3,9,0,1,3,6,1
"499",7,4,11,0,0,4,3,1
"500",7,4,11,0,0,4,10,0
"501",7,4,11,0,0,4,NA,0
"502",7,3,11,0,0,4,NA,1
"503",7,4,12,0,0,4,7,1
"504",4,3,4,0,0,4,4,1
"505",4,3,4,0,0,3,11,0
"506",7,4,9,0,0,4,8,1
"507",6,3,4,0,0,4,4,1
